user_id,txn_date,txn_amount,channel,txn_type,txn_id
U100323,2025-06-04,177.91,USSD,bill,T000001
U100090,2025-06-13,535.95,App,bill,T000002
U102532,2025-05-14,917.15,USSD,send,T000003
U101399,2025-05-23,186.18,USSD,topup,T000004
U101323,2025-05-14,786.74,USSD,loan,T000005
U101626,2025-07-11,302.78,USSD,topup,T000006
U100462,2025-07-05,853.6,App,send,T000007
U101856,2025-07-13,870.25,USSD,topup,T000008
U100981,2025-05-29,368.57,Agent,send,T000009
U101088,2025-07-20,182.41,App,bill,T000010
U100215,2025-06-11,997.7,USSD,topup,T000011
U101015,2025-06-08,792.85,App,loan,T000012
U100476,2025-05-30,301.7,USSD,bill,T000013
U100874,2025-07-22,718.68,App,loan,T000014
U102320,2025-07-19,413.24,Agent,loan,T000015
U100925,2025-07-27,105.15,Agent,send,T000016
U100122,2025-05-06,534.62,Agent,send,T000017
U102030,2025-06-30,940.21,USSD,topup,T000018
U100581,2025-05-19,931.99,App,bill,T000019
U102989,2025-07-21,549.43,App,bill,T000020
U101303,2025-06-09,157.26,USSD,bill,T000021
U100721,2025-05-25,433.51,Agent,loan,T000022
U101063,2025-07-18,267.79,Agent,loan,T000023
U100199,2025-05-27,113.32,App,topup,T000024
U102654,2025-07-01,933.83,Agent,send,T000025
U102832,2025-05-15,529.51,USSD,topup,T000026
U100911,2025-05-24,905.03,USSD,loan,T000027
U100540,2025-07-05,577.73,USSD,bill,T000028
U101665,2025-06-27,189.11,USSD,send,T000029
U100456,2025-05-22,279.38,App,send,T000030
U102577,2025-06-08,700.57,App,loan,T000031
U102199,2025-05-23,63.82,USSD,bill,T000032
U102658,2025-05-11,519.62,App,send,T000033
U100103,2025-05-14,920.85,USSD,topup,T000034
U102987,2025-05-18,128.9,USSD,topup,T000035
U101309,2025-05-02,463.65,App,send,T000036
U101742,2025-05-23,27.44,USSD,topup,T000037
U102349,2025-07-16,692.61,App,topup,T000038
U101630,2025-07-19,529.56,Agent,send,T000039
U102024,2025-05-30,993.46,App,topup,T000040
U100498,2025-06-14,198.92,Agent,bill,T000041
U101437,2025-06-16,709.48,Agent,loan,T000042
U100720,2025-06-23,906.58,App,topup,T000043
U102357,2025-06-11,726.53,USSD,topup,T000044
U101408,2025-06-09,128.69,USSD,bill,T000045
U102700,2025-07-01,683.2,App,topup,T000046
U100692,2025-07-26,151.63,Agent,loan,T000047
U100929,2025-05-03,699.61,App,topup,T000048
U100005,2025-05-19,288.04,USSD,topup,T000049
U101450,2025-05-15,226.28,App,loan,T000050
U101748,2025-05-26,88.02,USSD,send,T000051
U101923,2025-05-13,397.7,App,loan,T000052
U100186,2025-05-02,511.94,USSD,loan,T000053
U100494,2025-05-25,764.73,App,topup,T000054
U101561,2025-07-15,39.54,App,loan,T000055
U100510,2025-07-17,156.81,App,bill,T000056
U102641,2025-05-26,845.48,Agent,topup,T000057
U102286,2025-07-02,678.09,Agent,topup,T000058
U102892,2025-06-22,90.55,USSD,loan,T000059
U102897,2025-05-17,762.28,Agent,bill,T000060
U101648,2025-07-01,479.0,USSD,loan,T000061
U101075,2025-07-21,131.89,App,topup,T000062
U102829,2025-05-04,982.49,App,topup,T000063
U102916,2025-07-09,508.85,Agent,send,T000064
U102488,2025-06-16,292.74,App,bill,T000065
U102294,2025-07-14,990.4,Agent,topup,T000066
U102938,2025-05-01,815.87,Agent,topup,T000067
U100731,2025-05-05,734.52,USSD,loan,T000068
U100234,2025-07-22,377.65,Agent,bill,T000069
U100864,2025-07-26,372.22,App,loan,T000070
U100992,2025-05-08,833.28,Agent,loan,T000071
U101002,2025-05-30,67.6,Agent,send,T000072
U102177,2025-06-27,56.37,USSD,loan,T000073
U101129,2025-05-28,105.44,App,send,T000074
U101988,2025-07-23,669.33,App,bill,T000075
U100499,2025-05-06,653.55,USSD,topup,T000076
U100055,2025-07-26,888.59,App,topup,T000077
U101578,2025-06-08,175.34,Agent,send,T000078
U102083,2025-07-26,784.76,Agent,loan,T000079
U100938,2025-06-04,571.34,Agent,loan,T000080
U102690,2025-07-04,366.01,App,bill,T000081
U102992,2025-07-02,277.57,USSD,send,T000082
U101480,2025-07-24,319.1,Agent,send,T000083
U100713,2025-05-08,936.85,Agent,send,T000084
U101508,2025-06-07,87.39,Agent,bill,T000085
U100294,2025-07-20,78.42,Agent,bill,T000086
U101351,2025-07-09,428.84,App,send,T000087
U102360,2025-07-20,721.18,Agent,topup,T000088
U102420,2025-05-13,321.72,Agent,loan,T000089
U101465,2025-05-22,805.05,App,loan,T000090
U100002,2025-05-10,811.39,App,bill,T000091
U100691,2025-06-24,435.16,App,send,T000092
U100291,2025-07-10,623.13,Agent,loan,T000093
U100393,2025-06-17,136.82,Agent,send,T000094
U100613,2025-05-11,308.17,App,topup,T000095
U102934,2025-06-19,430.57,Agent,loan,T000096
U101895,2025-07-03,532.45,Agent,loan,T000097
U101662,2025-07-19,37.3,Agent,loan,T000098
U100883,2025-06-25,75.12,USSD,loan,T000099
U101981,2025-07-14,232.09,Agent,topup,T000100
U100540,2025-06-19,438.41,USSD,send,T000101
U101885,2025-05-24,959.18,Agent,loan,T000102
U102657,2025-06-17,545.15,USSD,topup,T000103
U102610,2025-07-24,936.03,Agent,bill,T000104
U100831,2025-05-08,116.17,App,loan,T000105
U101346,2025-05-23,309.46,App,bill,T000106
U100744,2025-06-27,233.94,App,send,T000107
U100649,2025-05-11,121.93,App,bill,T000108
U100096,2025-07-14,774.82,USSD,loan,T000109
U101115,2025-07-17,993.19,Agent,loan,T000110
U101163,2025-05-30,480.46,Agent,send,T000111
U100004,2025-05-31,141.14,Agent,loan,T000112
U101620,2025-07-19,306.86,Agent,loan,T000113
U102033,2025-06-25,401.51,Agent,loan,T000114
U102429,2025-07-10,450.69,USSD,send,T000115
U101719,2025-06-06,816.4,USSD,bill,T000116
U101747,2025-07-17,690.94,App,bill,T000117
U101354,2025-07-11,33.99,USSD,topup,T000118
U101445,2025-07-11,315.42,App,loan,T000119
U100815,2025-05-22,38.6,Agent,loan,T000120
U101115,2025-06-10,565.48,Agent,topup,T000121
U101902,2025-05-21,441.94,App,bill,T000122
U100562,2025-05-14,569.74,USSD,topup,T000123
U101315,2025-05-10,206.68,Agent,bill,T000124
U102431,2025-05-17,466.49,App,topup,T000125
U101507,2025-05-20,350.41,App,topup,T000126
U101895,2025-05-26,414.11,App,loan,T000127
U101227,2025-06-11,235.54,App,bill,T000128
U102515,2025-06-08,290.69,Agent,bill,T000129
U102505,2025-05-24,394.08,USSD,loan,T000130
U102692,2025-07-22,435.19,USSD,bill,T000131
U101072,2025-06-26,874.78,USSD,topup,T000132
U101259,2025-05-05,709.33,App,bill,T000133
U102506,2025-06-16,122.19,Agent,topup,T000134
U102488,2025-06-20,243.22,Agent,bill,T000135
U101129,2025-06-05,578.74,USSD,topup,T000136
U102354,2025-07-06,881.04,USSD,bill,T000137
U100070,2025-05-10,526.3,Agent,topup,T000138
U100598,2025-05-30,225.3,Agent,bill,T000139
U102050,2025-06-21,420.71,Agent,loan,T000140
U102963,2025-06-10,935.24,Agent,bill,T000141
U100408,2025-06-15,249.93,App,send,T000142
U102338,2025-07-05,446.1,App,topup,T000143
U100471,2025-05-23,860.56,App,loan,T000144
U101338,2025-05-26,302.06,Agent,bill,T000145
U100789,2025-07-24,287.78,Agent,loan,T000146
U101517,2025-07-15,337.34,Agent,topup,T000147
U100514,2025-05-14,38.26,App,send,T000148
U101236,2025-06-04,278.86,USSD,bill,T000149
U101562,2025-06-15,928.97,App,topup,T000150
U102320,2025-07-08,55.55,App,topup,T000151
U101457,2025-06-04,107.53,App,topup,T000152
U101890,2025-07-18,333.99,USSD,bill,T000153
U102165,2025-05-29,707.27,USSD,topup,T000154
U101354,2025-05-02,582.77,Agent,loan,T000155
U100009,2025-07-01,555.82,USSD,send,T000156
U102349,2025-07-26,609.87,App,bill,T000157
U102891,2025-06-27,361.14,USSD,topup,T000158
U101062,2025-05-03,696.07,USSD,loan,T000159
U100906,2025-07-20,85.56,App,bill,T000160
U100196,2025-07-10,885.13,USSD,topup,T000161
U100780,2025-07-03,828.98,App,topup,T000162
U100137,2025-07-16,858.12,App,bill,T000163
U101873,2025-05-05,293.46,USSD,loan,T000164
U100851,2025-07-06,656.37,App,bill,T000165
U100950,2025-07-28,663.62,Agent,loan,T000166
U102066,2025-07-15,741.71,Agent,loan,T000167
U102212,2025-07-04,831.36,App,bill,T000168
U102911,2025-05-23,708.14,App,bill,T000169
U101562,2025-05-24,753.51,App,topup,T000170
U102678,2025-06-22,90.58,Agent,loan,T000171
U101794,2025-06-06,889.38,App,loan,T000172
U101079,2025-05-30,189.14,App,bill,T000173
U100851,2025-07-01,841.63,App,topup,T000174
U100935,2025-07-07,537.02,USSD,send,T000175
U100669,2025-06-04,162.83,Agent,bill,T000176
U101729,2025-07-26,391.45,App,loan,T000177
U101379,2025-07-17,730.1,App,topup,T000178
U100823,2025-07-05,134.34,App,topup,T000179
U100038,2025-05-11,137.16,App,bill,T000180
U101643,2025-06-20,574.04,App,topup,T000181
U100837,2025-07-23,877.94,App,send,T000182
U100898,2025-05-22,198.07,USSD,loan,T000183
U101806,2025-07-22,68.65,Agent,send,T000184
U102745,2025-06-11,901.0,USSD,bill,T000185
U100043,2025-06-06,438.1,USSD,topup,T000186
U101959,2025-04-30,610.06,USSD,bill,T000187
U101020,2025-07-27,898.75,App,topup,T000188
U101138,2025-06-07,642.11,App,send,T000189
U100320,2025-07-28,941.62,App,topup,T000190
U102382,2025-05-24,556.57,USSD,loan,T000191
