user_id,signup_date,gender,age,region
U100000,2024-10-23,Female,59,Greater Accra
U100001,2024-10-20,Female,51,Volta
U100002,2025-06-26,Female,47,Volta
U100003,2024-11-28,Female,30,Ashanti
U100004,2024-08-06,Male,30,Ashanti
U100005,2025-05-24,Male,35,Greater Accra
U100006,2025-06-13,Female,49,Volta
U100007,2025-04-22,Male,49,Ashanti
U100008,2025-06-13,Male,52,Western
U100009,2024-11-13,Female,56,Western
U100010,2025-03-01,Female,46,Volta
U100011,2025-02-12,Female,46,Ashanti
U100012,2025-03-02,Female,33,Greater Accra
U100013,2025-03-07,Female,27,Greater Accra
U100014,2025-03-07,Female,47,Greater Accra
U100015,2024-09-27,Male,42,Western
U100016,2024-09-03,Male,56,Ashanti
U100017,2024-08-12,Female,37,Ashanti
U100018,2025-01-23,Male,22,Western
U100019,2024-12-14,Female,18,Greater Accra
U100020,2024-09-27,Female,47,Greater Accra
U100021,2024-09-20,Female,20,Volta
U100022,2024-11-08,Female,31,Eastern
U100023,2024-12-18,Male,47,Ashanti
U100024,2025-03-12,Female,21,Ashanti
U100025,2024-11-03,Male,35,Ashanti
U100026,2024-10-27,Female,54,Eastern
U100027,2024-11-05,Female,42,Volta
U100028,2025-06-08,Female,18,Eastern
U100029,2024-11-22,Male,32,Greater Accra
U100030,2024-09-02,Female,26,Greater Accra
U100031,2025-03-07,Female,32,Ashanti
U100032,2024-12-31,Female,41,Western
U100033,2025-03-07,Male,21,Ashanti
U100034,2024-10-21,Male,29,Western
U100035,2025-05-10,Male,54,Eastern
U100036,2024-08-27,Female,54,Greater Accra
U100037,2025-05-06,Male,23,Western
U100038,2024-12-02,Female,56,Eastern
U100039,2025-06-01,Male,41,Greater Accra
U100040,2025-02-01,Male,28,Western
U100041,2024-10-04,Female,30,Ashanti
U100042,2025-02-03,Male,51,Ashanti
U100043,2025-06-14,Female,42,Ashanti
U100044,2025-04-22,Female,24,Eastern
U100045,2025-04-27,Male,21,Ashanti
U100046,2025-03-09,Female,25,Volta
U100047,2025-06-12,Female,37,Greater Accra
U100048,2024-09-04,Male,46,Eastern
U100049,2025-03-17,Male,27,Ashanti
U100050,2025-04-04,Female,51,Greater Accra
U100051,2024-11-22,Male,43,Western
U100052,2024-08-12,Female,58,Ashanti
U100053,2025-05-08,Female,20,Greater Accra
U100054,2025-06-07,Male,23,Volta
U100055,2025-03-09,Male,22,Western
U100056,2024-12-24,Male,22,Volta
U100057,2024-08-28,Male,40,Greater Accra
U100058,2025-05-27,Female,26,Volta
U100059,2024-08-19,Female,52,Greater Accra
U100060,2025-05-24,Male,37,Greater Accra
U100061,2024-12-05,Male,59,Volta
U100062,2024-12-11,Female,52,Greater Accra
U100063,2025-06-11,Female,35,Ashanti
U100064,2025-01-13,Female,34,Greater Accra
U100065,2025-01-06,Female,41,Eastern
U100066,2024-09-13,Male,20,Greater Accra
U100067,2025-05-24,Female,49,Eastern
U100068,2024-10-25,Female,52,Greater Accra
U100069,2025-05-15,Male,55,Greater Accra
U100070,2025-04-08,Female,30,Volta
U100071,2025-06-23,Female,42,Ashanti
U100072,2025-03-19,Male,26,Ashanti
U100073,2024-08-02,Male,21,Western
U100074,2025-04-01,Male,31,Volta
U100075,2025-05-26,Female,54,Volta
U100076,2025-03-31,Female,51,Ashanti
U100077,2024-12-24,Male,28,Volta
U100078,2024-08-19,Male,58,Ashanti
U100079,2024-11-24,Female,20,Volta
U100080,2025-02-17,Male,45,Greater Accra
U100081,2024-08-13,Male,46,Ashanti
U100082,2024-11-30,Male,26,Ashanti
U100083,2025-02-23,Female,20,Eastern
U100084,2025-03-05,Female,42,Volta
U100085,2024-09-25,Female,51,Volta
U100086,2024-12-02,Female,29,Ashanti
U100087,2025-02-09,Female,59,Greater Accra
U100088,2025-04-25,Female,26,Greater Accra
U100089,2024-10-22,Male,32,Greater Accra
U100090,2024-09-26,Female,57,Volta
U100091,2024-08-17,Female,42,Eastern
U100092,2025-04-16,Male,22,Ashanti
U100093,2025-05-09,Female,28,Western
U100094,2024-12-28,Female,51,Eastern
U100095,2025-01-18,Male,41,Western
U100096,2025-05-17,Male,32,Eastern
U100097,2025-03-17,Male,55,Greater Accra
U100098,2025-03-09,Female,25,Volta
U100099,2025-02-10,Male,22,Western
U100100,2024-09-01,Female,43,Eastern
U100101,2024-10-23,Female,35,Volta
U100102,2025-01-12,Female,23,Western
U100103,2024-11-18,Female,54,Ashanti
U100104,2025-05-30,Male,30,Eastern
U100105,2024-12-29,Male,45,Ashanti
U100106,2024-09-24,Female,22,Greater Accra
U100107,2024-09-18,Male,30,Ashanti
U100108,2024-12-06,Female,34,Ashanti
U100109,2024-08-30,Female,57,Eastern
U100110,2025-01-29,Female,49,Greater Accra
U100111,2025-03-07,Male,46,Ashanti
U100112,2025-05-14,Female,20,Volta
U100113,2024-08-17,Female,57,Western
U100114,2025-02-26,Male,51,Ashanti
U100115,2024-12-31,Male,57,Greater Accra
U100116,2024-11-07,Male,44,Ashanti
U100117,2024-08-31,Male,30,Western
U100118,2024-12-30,Female,50,Greater Accra
U100119,2025-02-08,Male,23,Eastern
U100120,2025-01-13,Female,41,Greater Accra
U100121,2025-05-25,Male,36,Eastern
U100122,2025-04-26,Male,33,Greater Accra
U100123,2024-09-17,Male,57,Western
U100124,2025-05-20,Male,45,Western
U100125,2024-09-19,Male,50,Greater Accra
U100126,2025-01-31,Male,58,Ashanti
U100127,2025-03-03,Female,30,Western
U100128,2024-10-13,Male,42,Eastern
U100129,2025-02-03,Male,59,Eastern
U100130,2024-12-29,Male,53,Volta
U100131,2025-04-08,Male,44,Eastern
U100132,2025-03-07,Female,55,Volta
U100133,2024-10-13,Male,24,Greater Accra
U100134,2025-03-03,Male,22,Greater Accra
U100135,2025-03-25,Male,48,Greater Accra
U100136,2025-05-10,Male,40,Ashanti
U100137,2025-02-17,Female,59,Ashanti
U100138,2024-11-01,Male,27,Volta
U100139,2024-10-31,Female,49,Eastern
U100140,2024-08-25,Male,47,Eastern
U100141,2024-11-09,Female,56,Greater Accra
U100142,2025-05-26,Female,48,Western
U100143,2025-01-12,Male,35,Ashanti
U100144,2024-12-01,Male,53,Ashanti
U100145,2025-04-20,Female,19,Greater Accra
U100146,2025-03-09,Female,31,Ashanti
U100147,2024-09-01,Male,30,Greater Accra
U100148,2024-09-10,Female,46,Volta
U100149,2025-04-15,Female,29,Eastern
U100150,2025-01-05,Female,56,Western
U100151,2025-01-09,Male,19,Eastern
U100152,2024-12-17,Female,49,Eastern
U100153,2024-12-11,Female,30,Volta
U100154,2024-10-10,Female,44,Ashanti
U100155,2024-11-30,Male,58,Western
U100156,2024-12-09,Male,34,Ashanti
U100157,2025-03-16,Female,57,Eastern
U100158,2025-04-09,Male,48,Greater Accra
U100159,2024-08-07,Female,51,Eastern
U100160,2025-05-23,Male,41,Ashanti
U100161,2024-11-24,Male,52,Eastern
U100162,2024-10-02,Female,23,Greater Accra
U100163,2024-12-11,Male,36,Volta
U100164,2025-03-25,Male,47,Ashanti
U100165,2025-06-13,Male,24,Eastern
U100166,2025-06-05,Female,27,Ashanti
U100167,2025-01-16,Male,58,Volta
U100168,2025-03-28,Male,49,Eastern
U100169,2024-09-23,Female,51,Eastern
U100170,2025-01-16,Male,45,Ashanti
U100171,2024-08-15,Male,32,Ashanti
U100172,2025-06-11,Male,47,Greater Accra
U100173,2024-10-27,Male,54,Volta
U100174,2024-10-14,Male,46,Greater Accra
U100175,2025-04-21,Female,39,Eastern
U100176,2024-12-21,Female,21,Ashanti
U100177,2024-09-27,Male,37,Eastern
U100178,2025-05-19,Male,49,Eastern
U100179,2025-05-07,Male,53,Western
U100180,2025-06-25,Female,21,Western
U100181,2024-08-31,Female,44,Eastern
U100182,2024-09-10,Male,34,Ashanti
U100183,2025-05-12,Male,29,Eastern
U100184,2024-08-19,Female,39,Western
U100185,2024-10-31,Male,34,Ashanti
U100186,2025-03-27,Female,27,Eastern
U100187,2024-09-24,Female,18,Volta
U100188,2025-06-17,Male,39,Volta
U100189,2025-06-12,Female,43,Eastern
U100190,2024-11-17,Male,35,Ashanti
U100191,2024-08-03,Male,31,Eastern
U100192,2024-12-09,Male,46,Eastern
U100193,2025-04-24,Male,29,Western
U100194,2025-06-06,Male,53,Volta
U100195,2024-09-10,Male,52,Western
U100196,2024-11-24,Female,29,Western
U100197,2025-01-19,Female,24,Eastern
U100198,2025-01-27,Female,46,Western
U100199,2024-08-06,Female,28,Volta
U100200,2024-12-04,Male,50,Western
U100201,2024-10-18,Female,23,Volta
U100202,2025-05-12,Female,32,Western
U100203,2025-02-22,Female,49,Volta
U100204,2024-10-19,Male,28,Western
U100205,2024-10-16,Female,40,Western
U100206,2025-02-26,Male,43,Ashanti
U100207,2025-02-17,Female,51,Volta
U100208,2025-05-16,Male,51,Volta
U100209,2024-11-06,Male,46,Volta
U100210,2025-02-27,Female,21,Greater Accra
U100211,2025-02-01,Male,34,Western
U100212,2025-03-27,Male,52,Volta
U100213,2025-05-08,Female,30,Greater Accra
U100214,2024-09-21,Female,58,Ashanti
U100215,2025-04-24,Female,56,Volta
U100216,2025-04-26,Male,32,Volta
U100217,2025-04-14,Male,46,Greater Accra
U100218,2024-08-05,Male,46,Western
U100219,2024-12-22,Female,28,Ashanti
U100220,2025-03-12,Male,49,Volta
U100221,2025-04-12,Male,19,Western
U100222,2025-02-18,Male,31,Ashanti
U100223,2024-08-14,Male,37,Eastern
U100224,2024-11-05,Male,39,Eastern
U100225,2024-10-03,Male,28,Ashanti
U100226,2024-08-21,Male,44,Greater Accra
U100227,2024-11-16,Female,20,Ashanti
U100228,2024-10-14,Female,34,Ashanti
U100229,2025-05-31,Female,45,Greater Accra
U100230,2025-04-25,Male,46,Greater Accra
U100231,2025-03-25,Male,38,Western
U100232,2024-11-11,Female,33,Western
U100233,2024-08-18,Male,54,Greater Accra
U100234,2025-01-25,Female,37,Eastern
U100235,2025-04-09,Male,23,Eastern
